name,dateOfBirth,dateOfDeath,nationality,description,region,groups,imageURL
Johann Sebastian Bach,1685-03-31,1750-07-28,German,"A German composer and musician of the late Baroque period, known for the Brandenburg Concertos, Goldberg Variations, and Mass in B minor. Widely regarded as one of the greatest composers in the history of Western music.",Europe,Music,
Claude Monet,1840-11-14,1926-12-05,French,"Founder of French Impressionism, celebrated for his landscape paintings and exploration of light and color.",Europe,Visual Arts,
Mao Zedong (毛澤東),1893-12-26,1976-09-09,Chinese,"Founding father of the People's Republic of China, his rule was marked by radical policies and political campaigns.",East Asia,Politics & Military,
John Calvin,1509-07-10,1564-05-27,French,Theologian whose writings established Calvinism and influenced Reformed theology.,Europe,Religion,
Horatio Nelson,1758-09-29,1805-10-21,British,British admiral whose victories secured British naval dominance during the Napoleonic Wars.,Europe,Politics & Military,
Fibonacci,1170-01-01,1240-01-01,Italian,Popularized Hindu-Arabic numerals in Europe through Liber Abaci and introduced the Fibonacci sequence.,Europe,Science,
William Shakespeare,1564-04-23,1616-04-23,English,"An English playwright, poet and actor. Widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist.",Europe,Literature,
Charles Darwin,1809-02-12,1882-04-19,English,An English naturalist widely known for his contributions to evolutionary biology and the theory of natural selection.,Europe,Science,
Vincent van Gogh,1853-03-30,1890-07-29,Dutch,Dutch post-impressionist painter whose emotionally charged works and bold color palettes have left a lasting legacy in art.,Europe,Visual Arts,
John Maynard Keynes,1883-06-05,1946-04-21,British,"One of the most influential economists of modern times, founder of Keynesian economics.",Europe,Economy,
Ludwig van Beethoven,1770-12-17,1827-03-26,German,"A German composer and pianist, one of the most revered figures in the history of Western music spanning the Classical and Romantic eras.",Europe,Music,
Cao Xueqin (曹雪芹),1715-01-01,1763-01-01,Chinese,"Author of Dream of the Red Chamber, a pinnacle of Qing-era vernacular fiction.",East Asia,Literature,
Al-Zarqali (Arzachel),1029-01-01,1087-01-01,Andalusian,Designed the universal astrolabe and refined solar tables later used by Copernicus.,Europe,Science,
Fukuzawa Yukichi (福澤諭吉),1835-01-10,1901-02-03,Japanese,Writer and educator whose advocacy of Eastern ethics and Western technology shaped Japan's modernization and founded Keio University.,East Asia,Literature,
Peter the Great,1672-06-09,1725-02-08,Russian,Westernized and expanded Russia; founded Saint Petersburg.,Europe,Politics & Military,
Dmitry Donskoy (Дмитрий Донской),1350-10-12,1389-05-19,Russian,"Defeated the Mongols at Kulikovo, boosting Moscow's rise within Rus'.",Europe,Politics & Military,
Robert Boyle,1627-01-25,1691-12-31,Irish,Formulated Boyle's Law and advanced chemistry as an experimental science.,Europe,Science,
Tran Hung Dao (陳興道),1228-06-13,1300-04-07,Vietnamese,General who twice repelled massive Mongol invasions of Dai Viet.,East Asia,Politics & Military,
Charles Dickens,1812-02-07,1870-06-09,English,Renowned English writer known for vivid depictions of Victorian society in works like Oliver Twist and A Christmas Carol.,Europe,Literature,
Giovanni da Pian del Carpine,1185-01-01,1252-08-01,Italian,First papal envoy to reach Karakorum; earliest European eyewitness report of the Mongol Empire.,Europe,Exploration & Discovery,
Kim Il-sung,1912-04-15,1994-07-08,North Korean,"Founding leader of North Korea, he established a rigid totalitarian regime with dynastic succession.",East Asia,Politics & Military,
William of Ockham,1287-01-01,1347-04-09,English,Philosopher who formulated Ockham's Razor and challenged papal authority.,Europe,Philosophy,
William the Conqueror,1028-01-01,1087-09-09,Norman,Duke of Normandy who won the Battle of Hastings (1066) and reshaped England with the Domesday survey.,Europe,Politics & Military,
Frederick I Barbarossa,1122-12-17,1190-06-10,German,Holy Roman Emperor who reasserted imperial authority in Germany and Italy and led the Third Crusade.,Europe,Politics & Military,
Aguda (金太祖阿骨打),1068-08-01,1123-09-19,Jurchen,Founder of the Jin dynasty; his armies overthrew the Liao and captured North China.,East Asia,Politics & Military,
Friedrich Nietzsche,1844-10-15,1900-08-25,German,"Influential German philosopher whose works on morality, culture, and existentialism have shaped modern thought.",Europe,Philosophy,
Geoffrey Chaucer,1343-01-01,1400-10-25,English,"Wrote The Canterbury Tales, establishing Middle English as a major literary language.",Europe,Literature,
Michael Faraday,1791-09-22,1867-08-25,English,English scientist known for groundbreaking work in electromagnetism and electrochemistry.,Europe,Science,
Ashikaga Yoshimitsu (足利義満),1358-09-25,1408-05-06,Japanese,Muromachi shogun who fostered trade with Ming China and built Kinkaku-ji.,East Asia,Politics & Military,
Toyotomi Hideyoshi (豊臣秀吉),1537-03-17,1598-09-18,Japanese,"Completed Japan's unification; land surveys, sword hunt, and invasions of Korea.",East Asia,Politics & Military,
Jiaqing Emperor (嘉慶帝),1760-11-13,1820-09-02,Chinese,Tackled Heshen's corruption and suppressed the White Lotus Rebellion.,East Asia,Politics & Military,
Pierre-Auguste Renoir,1841-02-25,1919-12-03,French,French Impressionist painter celebrated for his vibrant depictions of social life and luminous portraits.,Europe,Visual Arts,
John Adams,1735-10-30,1826-07-04,American,Second U.S. President and diplomat; key figure in the American Founding and early republican governance.,North America,Politics & Military,
Askia Muhammad I,1443-01-01,1538-01-01,Songhai,"Reformed Songhai administration, promoted Islam, and expanded trans-Saharan trade routes.",Africa,Politics & Military,
Samuel de Champlain,1574-08-13,1635-12-25,French,Father of New France; founded Quebec and mapped the St. Lawrence Valley and Great Lakes.,North America,Exploration & Discovery,
Immanuel Kant,1724-04-22,1804-02-12,German,German philosopher; his Critique of Pure Reason profoundly shaped metaphysics and epistemology.,Europe,Philosophy,
Zheng Chenggong (鄭成功),1624-08-27,1662-06-23,Chinese,Ming loyalist who expelled the Dutch from Taiwan and resisted Qing rule.,East Asia,Politics & Military,
William of Rubruck,1220-01-01,1293-01-01,French,Franciscan explorer whose detailed Mongol travel account informed Roger Bacon and Marco Polo.,Europe,Exploration & Discovery,
Benjamin Franklin,1706-01-17,1790-04-17,American,"A Founding Father of the United States; scientist, inventor, diplomat, and statesman. Famous for experiments with electricity and helping draft the Declaration of Independence.",North America,Politics & Military,
Yue Fei (岳飛),1103-03-24,1142-01-27,Chinese,National hero who led Southern Song armies against the Jurchen Jin invaders.,East Asia,Politics & Military,
Li Qingzhao (李清照),1084-03-13,1155-01-01,Chinese,Greatest female poet of the Song dynasty; refined the ci lyric form.,East Asia,Literature,
Nizami Ganjavi,1141-01-01,1209-01-01,Persian,"Author of the Khamsa epics, a model for Persian and Ottoman literature.",Middle East,Literature,
Xu Guangqi (徐光啟),1562-04-24,1633-11-08,Chinese,Scholar-official who introduced Western mathematics and astronomy with the Jesuits.,East Asia,Science,
Wanli Emperor (萬曆帝),1563-09-04,1620-08-18,Chinese,"Presided over late-Ming prosperity, followed by fiscal decline; withdrew from active governance.",East Asia,Politics & Military,
Alauddin Khilji,1266-01-01,1316-01-04,Indian,Delhi sultan who repelled Mongol raids and reformed revenue and army pay systems.,South Asia,Politics & Military,
Babur,1483-02-14,1530-12-26,Turco-Mongol,Founded the Mughal Empire after victory at Panipat (1526).,South Asia,Politics & Military,
Chiang Kai-shek (蔣介石),1887-10-31,1975-04-05,Chinese,Leader of the Republic of China who headed the Kuomintang during the Chinese Civil War and later governed Taiwan.,East Asia,Politics & Military,
Saladin (صلاح الدين),1137-01-01,1193-03-04,Kurdish-Egyptian,"Re-united Egypt and Syria, defeated Crusaders at Hattin, and retook Jerusalem (1187).",Middle East,Politics & Military,
Sultan Qutuz (قطز),1222-01-01,1260-10-24,Turkic-Mamluk,Commanded Mamluk forces to the first major Mongol defeat at Ain Jalut.,Middle East,Politics & Military,
Frederick II (Hohenstaufen),1194-12-26,1250-12-13,German,"Holy Roman Emperor who blended Arabic and European science, founded Naples University, and led the Sixth Crusade.",Europe,Politics & Military,
Shunzhi Emperor (順治帝),1638-03-15,1661-02-05,Chinese,First Qing emperor to rule all China; began Sinicization of Manchu governance.,East Asia,Politics & Military,
Antonie van Leeuwenhoek,1632-10-24,1723-08-26,Dutch,Father of microbiology; first to observe bacteria and protozoa with early microscopes.,Europe,Science,
Aurangzeb,1618-11-03,1707-03-03,Indian,Last great Mughal emperor; expanded the empire to its largest extent.,South Asia,Politics & Military,
Henry Hudson,1565-01-01,1611-06-23,English,"Explored Arctic waters and the river/bay that bear his name, spurring Dutch and English claims.",Europe,Exploration & Discovery,
Adolf Hitler,1889-04-20,1945-04-30,German,"Leader of Nazi Germany, responsible for initiating World War II and orchestrating the Holocaust.",Europe,Politics & Military,
Empress Dowager Cixi (慈禧太后),1835-11-29,1908-11-15,Chinese,De facto ruler of late-Qing China; oversaw conservative resistance to and selective adoption of Western reforms.,East Asia,Politics & Military,
Leonardo da Vinci,1452-04-15,1519-05-02,Italian,"An Italian polymath of the High Renaissance active as a painter, draughtsman, engineer, scientist, theorist, sculptor, and architect.",Europe,Visual Arts,
Kim Jong-un,1984-01-08,,North Korean,"Current leader of North Korea, known for his strict authoritarian policies and nuclear ambitions.",East Asia,Politics & Military,
John Milton,1608-12-09,1674-11-08,English,Author of Paradise Lost and advocate of free speech (Areopagitica).,Europe,Literature,
Saigo Takamori (西郷隆盛),1828-01-23,1877-09-24,Japanese,One of the Three Great Nobles of the Meiji Restoration; led the Satsuma Rebellion in defense of samurai interests.,East Asia,Politics & Military,
Jan Vermeer,1632-10-31,1675-12-15,Dutch,Dutch painter revered for luminous interior scenes and subtle use of light.,Europe,Visual Arts,
Prince Henry the Navigator,1394-03-04,1460-11-13,Portuguese,Royal patron whose Atlantic and African expeditions inaugurated the European Age of Discovery.,Europe,Exploration & Discovery,
Ji Yun (紀昀),1724-07-26,1805-03-14,Chinese,Scholar and chief editor of the vast imperial encyclopedia Siku Quanshu.,East Asia,Literature,
Christopher Columbus,1451-10-31,1506-05-20,Italian,"His 1492 voyage linked Europe and the Americas, reshaping global trade and empire building.",Europe,Exploration & Discovery,
Charles V,1500-02-24,1558-09-21,Spanish,Ruled the Spanish Empire and Holy Roman Empire at their zenith.,Europe,Politics & Military,
Katsushika Hokusai (葛飾北斎),1760-10-31,1849-05-10,Japanese,Master ukiyo-e printmaker; his Thirty-six Views of Mount Fuji transformed Japanese art.,East Asia,Visual Arts,
